Concentration A,Concentration B,Concentration C
0.182,0.165,0.653
0.039,0.097,0.864
0.089,0.132,0.779
0.078,0.198,0.724
0.118,0.111,0.771
0.143,0.148,0.709
0.187,0.067,0.746
0.146,0.191,0.663
0.198,0.021,0.781
0.149,0.186,0.665
0.196,0.023,0.781
0.217,0.181,0.602
0.136,0.144,0.72
0.174,0.185,0.641
0.153,0.059,0.788
0.111,0.123,0.766
0.045,0.03,0.925
0.099,0.149,0.752
0.078,0.137,0.785
0.043,0.012,0.945
0.023,0.084,0.893
0.048,0.215,0.737
0.019,0.064,0.917
0.087,0.16,0.753
0.019,0.22,0.761
0.066,0.048,0.886
0.026,0.192,0.782
0.151,0.032,0.817
0.038,0.128,0.834
0.102,0.019,0.879
0.115,0.175,0.71
0.037,0.088,0.875
0.125,0.199,0.676
0.102,0.093,0.805
0.029,0.039,0.932
0.021,0.145,0.834
0.178,0.058,0.764
0.197,0.077,0.726
0.207,0.104,0.689
0.04,0.089,0.871
0.092,0.036,0.872
0.219,0.169,0.612
0.073,0.061,0.866
0.112,0.012,0.876
0.218,0.142,0.64
0.051,0.076,0.873
0.088,0.087,0.825
0.185,0.212,0.603
0.176,0.051,0.773
0.165,0.041,0.794
0.16,0.198,0.642
0.03,0.055,0.915
0.123,0.011,0.866
0.103,0.157,0.74
0.05,0.152,0.798
0.078,0.054,0.868
0.136,0.195,0.669
0.139,0.15,0.711
0.121,0.078,0.801
0.062,0.071,0.867
0.2,0.195,0.605
0.195,0.14,0.665
0.054,0.176,0.77
0.157,0.056,0.787
0.048,0.155,0.797
0.14,0.02,0.84
0.133,0.108,0.759
0.13,0.141,0.729
0.109,0.063,0.828
0.083,0.037,0.88
0.041,0.058,0.901
0.204,0.166,0.63
0.035,0.161,0.804
0.078,0.172,0.75
0.084,0.193,0.723
0.19,0.092,0.718
0.078,0.036,0.886
0.136,0.091,0.773
0.156,0.087,0.757
0.1,0.199,0.701
0.166,0.182,0.652
0.198,0.058,0.744
0.093,0.139,0.768
0.127,0.137,0.736
0.125,0.033,0.842
0.153,0.158,0.689
0.056,0.141,0.803
0.058,0.093,0.849
0.207,0.08,0.713
0.114,0.024,0.862
0.112,0.05,0.838
0.147,0.095,0.758
0.208,0.106,0.686
0.164,0.041,0.795
0.094,0.045,0.861
0.207,0.025,0.768
0.119,0.172,0.709
0.097,0.187,0.716
0.094,0.059,0.847
0.115,0.141,0.744
0.093,0.154,0.753
0.147,0.087,0.766
0.159,0.137,0.704
0.215,0.2,0.585
0.096,0.076,0.828
0.03,0.18,0.79
0.179,0.172,0.649
0.059,0.149,0.792
0.094,0.012,0.894
0.072,0.165,0.763
0.074,0.202,0.724
0.151,0.163,0.686
0.062,0.204,0.734
0.216,0.17,0.614
0.085,0.083,0.832
0.179,0.146,0.675
0.06,0.146,0.794
0.094,0.106,0.8
0.051,0.136,0.813
0.205,0.134,0.661
0.051,0.081,0.868
0.151,0.02,0.829
0.044,0.039,0.917
0.016,0.057,0.927
0.144,0.129,0.727
0.174,0.149,0.677
0.099,0.182,0.719
0.104,0.036,0.86
0.08,0.073,0.847
0.094,0.051,0.855
0.143,0.108,0.749
0.176,0.077,0.747
0.202,0.179,0.619
0.135,0.138,0.727
0.052,0.044,0.904
0.153,0.084,0.763
0.167,0.035,0.798
0.02,0.016,0.964
0.198,0.165,0.637
0.205,0.197,0.598
0.027,0.207,0.766
0.199,0.03,0.771
0.146,0.04,0.814
0.142,0.173,0.685
0.091,0.143,0.766
0.215,0.154,0.631
0.027,0.065,0.908
0.168,0.097,0.735
0.112,0.102,0.786
0.078,0.041,0.881
0.148,0.069,0.783
0.15,0.071,0.779
0.192,0.034,0.774
0.099,0.011,0.89
0.168,0.062,0.77
0.095,0.127,0.778
0.113,0.157,0.73
0.143,0.097,0.76
0.133,0.065,0.802
0.056,0.159,0.785
0.098,0.122,0.78
0.211,0.191,0.598
0.082,0.032,0.886
0.086,0.05,0.864
0.026,0.102,0.872
0.101,0.113,0.786
0.087,0.195,0.718
0.141,0.029,0.83
0.074,0.13,0.796
0.103,0.07,0.827
0.098,0.065,0.837
0.128,0.031,0.841
0.051,0.19,0.759
0.103,0.2,0.697
0.045,0.078,0.877
0.141,0.171,0.688
0.203,0.159,0.638
0.092,0.083,0.825
0.156,0.074,0.77
0.031,0.011,0.958
0.2,0.166,0.634
0.197,0.059,0.744
0.015,0.136,0.849
0.025,0.061,0.914
0.205,0.203,0.592
0.062,0.188,0.75
0.081,0.177,0.742
0.116,0.011,0.873
0.138,0.156,0.706
0.014,0.175,0.811
0.191,0.05,0.759
0.099,0.138,0.763
0.057,0.061,0.882
0.03,0.065,0.905
0.095,0.166,0.739
0.157,0.067,0.776
0.144,0.196,0.66
0.128,0.168,0.704
0.167,0.046,0.787
0.112,0.104,0.784
0.026,0.066,0.908
0.144,0.116,0.74
0.121,0.208,0.671
0.217,0.103,0.68
0.069,0.165,0.766
0.101,0.147,0.752
0.177,0.161,0.662
0.116,0.051,0.833
0.024,0.013,0.963
0.109,0.095,0.796
0.111,0.14,0.749
0.04,0.212,0.748
0.116,0.062,0.822
0.125,0.023,0.852
0.18,0.172,0.648
0.092,0.055,0.853
0.053,0.086,0.861
0.053,0.098,0.849
0.025,0.137,0.838
0.059,0.209,0.732
0.131,0.22,0.649
0.206,0.156,0.638
0.111,0.089,0.8
0.07,0.04,0.89
0.063,0.143,0.794
0.18,0.083,0.737
0.163,0.037,0.8
0.199,0.04,0.761
0.06,0.187,0.753
0.106,0.129,0.765
0.045,0.146,0.809
0.061,0.076,0.863
0.057,0.11,0.833
0.071,0.087,0.842
0.166,0.071,0.763
0.067,0.097,0.836
0.039,0.149,0.812
0.124,0.119,0.757
0.104,0.112,0.784
0.152,0.096,0.752
0.064,0.165,0.771
0.021,0.082,0.897
0.166,0.015,0.819
0.108,0.04,0.852
0.055,0.177,0.768
0.201,0.138,0.661
0.138,0.116,0.746
0.056,0.179,0.765
0.166,0.035,0.799
0.045,0.134,0.821
0.041,0.057,0.902
0.072,0.048,0.88
0.121,0.146,0.733
0.194,0.14,0.666
0.076,0.035,0.889
0.032,0.027,0.941
0.048,0.133,0.819
0.175,0.049,0.776
0.142,0.033,0.825
0.06,0.052,0.888
0.166,0.131,0.703
0.018,0.022,0.96
0.207,0.126,0.667
0.177,0.038,0.785
0.15,0.128,0.722
0.034,0.179,0.787
0.192,0.131,0.677
0.108,0.081,0.811
0.037,0.068,0.895
0.138,0.153,0.709
0.126,0.201,0.673
0.047,0.068,0.885
0.042,0.114,0.844
0.141,0.126,0.733
0.051,0.157,0.792
0.189,0.065,0.746
0.118,0.214,0.668
0.034,0.026,0.94
0.121,0.173,0.706
0.087,0.116,0.797
0.064,0.093,0.843
0.124,0.208,0.668
0.082,0.215,0.703
0.02,0.145,0.835
0.029,0.167,0.804
0.081,0.031,0.888
0.08,0.117,0.803
0.074,0.162,0.764
0.185,0.069,0.746
0.151,0.083,0.766
0.048,0.199,0.753
0.208,0.058,0.734
0.168,0.093,0.739
0.084,0.117,0.799
0.204,0.179,0.617
0.074,0.117,0.809
0.1,0.136,0.764
0.112,0.066,0.822
0.195,0.028,0.777
0.131,0.091,0.778
0.048,0.079,0.873
0.168,0.181,0.651
0.155,0.117,0.728
0.139,0.19,0.671
0.127,0.083,0.79
0.185,0.176,0.639
0.03,0.168,0.802
0.107,0.21,0.683
0.09,0.169,0.741
0.103,0.047,0.85
0.134,0.025,0.841
0.181,0.139,0.68
0.114,0.048,0.838
0.147,0.025,0.828
0.014,0.106,0.88
0.199,0.177,0.624
0.139,0.052,0.809
0.134,0.028,0.838
0.128,0.165,0.707
0.049,0.15,0.801
0.08,0.169,0.751
0.087,0.129,0.784
0.093,0.18,0.727
0.075,0.169,0.756
0.063,0.078,0.859
0.078,0.095,0.827
0.03,0.095,0.875
0.105,0.199,0.696
0.1,0.155,0.745
0.155,0.181,0.664
0.051,0.049,0.9
0.119,0.141,0.74
0.112,0.069,0.819
0.139,0.065,0.796
0.097,0.146,0.757
0.036,0.211,0.753
0.145,0.156,0.699
0.114,0.015,0.871
0.05,0.026,0.924
0.172,0.077,0.751
0.079,0.176,0.745
0.214,0.134,0.652
0.173,0.156,0.671
0.102,0.204,0.694
0.14,0.169,0.691
0.106,0.013,0.881
0.139,0.153,0.708
0.074,0.139,0.787
0.176,0.158,0.666
0.078,0.024,0.898
0.032,0.216,0.752
0.21,0.149,0.641
0.154,0.195,0.651
0.195,0.159,0.646
0.079,0.206,0.715
0.074,0.133,0.793
0.124,0.205,0.671
0.054,0.104,0.842
0.058,0.043,0.899
0.032,0.022,0.946
0.133,0.068,0.799
0.037,0.038,0.925
0.215,0.127,0.658
0.18,0.144,0.676
0.016,0.03,0.954
0.218,0.061,0.721
0.077,0.207,0.716
0.099,0.15,0.751
